Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Egypt, Arab Rep.",EGY,33.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,El Salvador,SLV,24.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Equatorial Guinea,GNQ,66.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Eritrea,ERI,48.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Estonia,EST,17.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Eswatini,SWZ,42.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Ethiopia,ETH,50.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Euro area,EMU,13.8945770473758
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Europe & Central Asia,ECS,19.1623159350578
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Europe & Central Asia (excluding high income),ECA,24.0318193802234
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,23.9933085821229
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,European Union,EUU,14.9454725721922
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Faroe Islands,FRO,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Fiji,FJI,39.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Finland,FIN,10.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Fragile and conflict affected situations,FCS,59.858063146976
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,France,FRA,13.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,French Polynesia,PYF,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Gabon,GAB,60.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Gambia, The",GMB,61.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Georgia,GEO,23.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Germany,DEU,13.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Ghana,GHA,64.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Gibraltar,GIB,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Greece,GRC,15.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Greenland,GRL,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Grenada,GRD,23.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Guam,GUM,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Guatemala,GTM,11.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Guinea,GIN,75.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Guinea-Bissau,GNB,70.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Guyana,GUY,31
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Haiti,HTI,61.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Heavily indebted poor countries (HIPC),HPC,60.0872086217192
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,High income,HIC,12.2027369716145
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Honduras,HND,28.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Hong Kong SAR, China",HKG,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Hungary,HUN,18.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,IBRD only,IBD,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Iceland,ISL,10.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,IDA & IBRD total,IBT,43.0831707120365
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,IDA blend,IDB,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,IDA only,IDX,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,IDA total,IDA,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,India,IND,55
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Indonesia,IDN,37.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Iran, Islamic Rep.",IRN,26.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Iraq,IRQ,28.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Ireland,IRL,13.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Isle of Man,IMN,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Israel,ISR,13.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Italy,ITA,13.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Jamaica,JAM,24.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Japan,JPN,16
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Jordan,JOR,31.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Kazakhstan,KAZ,21.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Kenya,KEN,40.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Kiribati,KIR,50.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Korea, Dem. People's Rep.",PRK,31
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Korea, Rep.",KOR,14.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Kosovo,XKX,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Kuwait,KWT,18.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Kyrgyz Republic,KGZ,33.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Lao PDR,LAO,41.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Late-demographic dividend,LTE,19.4823261391157
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Latin America & Caribbean,LCN,21.4586126636877
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Latin America & Caribbean (excluding high income),LAC,21.168782977718
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,21.4861630366762
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Latvia,LVA,19.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Least developed countries: UN classification,LDC,58.112102265362
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Lebanon,LBN,22
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Lesotho,LSO,50.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Liberia,LBR,72.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Libya,LBY,26.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Liechtenstein,LIE,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Lithuania,LTU,17.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Low & middle income,LMY,43.1669766898803
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Low income,LIC,59.7061950840564
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Lower middle income,LMC,49.6112017668247
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Luxembourg,LUX,10.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Macao SAR, China",MAC,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Madagascar,MDG,49.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Malawi,MWI,56.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Malaysia,MYS,22.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Maldives,MDV,36.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Mali,MLI,81
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Malta,MLT,16.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Marshall Islands,MHL,40.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Mauritania,MRT,67.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Mauritius,MUS,27.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Mexico,MEX,22.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,"Micronesia, Fed. Sts.",FSM,37.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Middle East & North Africa,MEA,33.668664015742
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Middle East & North Africa (excluding high income),MNA,35.3941542422532
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,35.3941542422532
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Middle income,MIC,39.9831022341942
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Moldova,MDA,26.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Monaco,MCO,13.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Mongolia,MNG,20.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Montenegro,MNE,14.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Morocco,MAR,30.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Mozambique,MOZ,66.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Myanmar,MMR,49.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Namibia,NAM,46.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Nauru,NRU,43.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Nepal,NPL,44.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Netherlands,NLD,14.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,New Caledonia,NCL,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,New Zealand,NZL,14.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Nicaragua,NIC,19
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Niger,NER,74.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Nigeria,NGA,70.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,North America,NAC,6.42364779983155
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,North Macedonia,MKD,24.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Northern Mariana Islands,MNP,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Norway,NOR,12.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Not classified,INX,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,OECD members,OED,13.7219077721766
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Oman,OMN,25.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Other small states,OSS,48.3066136498586
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Pacific island small states,PSS,38.7037844491694
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Pakistan,PAK,55.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Palau,PLW,34.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Panama,PAN,18.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Papua New Guinea,PNG,47.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Paraguay,PRY,29.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Peru,PER,32.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Philippines,PHL,14.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Poland,POL,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Portugal,PRT,13.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Post-demographic dividend,PST,11.9097716867207
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Pre-demographic dividend,PRE,62.0894298591605
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Puerto Rico,PRI,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Qatar,QAT,21.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Romania,ROU,28.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Russian Federation,RUS,22
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Rwanda,RWA,37.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Samoa,WSM,36.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,San Marino,SMR,12
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Sao Tome and Principe,STP,60.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Saudi Arabia,SAU,20.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Senegal,SEN,70.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Serbia,SRB,18.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Seychelles,SYC,29.1
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Sierra Leone,SLE,76.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Singapore,SGP,12.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Sint Maarten (Dutch part),SXM,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Slovak Republic,SVK,22.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Slovenia,SVN,17.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Small states,SST,44.2757161684533
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Solomon Islands,SLB,40.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Somalia,SOM,54.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,South Africa,ZAF,39.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,South Asia,SAS,53.202881394508
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,South Asia (IDA & IBRD),TSA,53.202881394508
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,South Sudan,SSD,59.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Spain,ESP,13.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Sri Lanka,LKA,24.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,St. Kitts and Nevis,KNA,20.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,St. Lucia,LCA,21.9
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,St. Martin (French part),MAF,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,St. Vincent and the Grenadines,VCT,21
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Sub-Saharan Africa,SSF,61.3313579080515
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Sub-Saharan Africa (excluding high income),SSA,61.33289423262
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,61.3313579080515
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Sudan,SDN,51.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Suriname,SUR,26.4
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Sweden,SWE,13.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Switzerland,CHE,12.8
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Syrian Arab Republic,SYR,31.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Tajikistan,TJK,34.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Tanzania,TZA,57.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Thailand,THA,24.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Timor-Leste,TLS,46
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Togo,TGO,73.3
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Tonga,TON,34
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Trinidad and Tobago,TTO,23.6
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Tunisia,TUN,29.5
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Turkey,TUR,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Turkmenistan,TKM,31.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Turks and Caicos Islands,TCA,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Tuvalu,TUV,44.7
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Uganda,UGA,53.2
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Ukraine,UKR,24.1
